,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
307,Software Engineer - Data Visualization,$60K-$127K (Glassdoor est.),ClearEdge,Annapolis Junction,MD,60000,127000,93500.0,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
308,Data Engineer,$75K-$143K (Glassdoor est.),SpringML,Herndon,VA,75000,143000,109000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
309,Staff Data Engineer,$105K-$194K (Glassdoor est.),Sumo Logic,Austin,TX,105000,194000,149500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
310,Associate Data Engineer,$45K-$86K (Glassdoor est.),EAB,Washington,DC,45000,86000,65500.0,Research & Development,Business Services,Unknown / Non-Applicable
311,Senior Data Scientist,$95K-$154K (Glassdoor est.),Brighthouse Financial,Charlotte,NC,95000,154000,124500.0,Insurance Carriers,Insurance,Unknown / Non-Applicable
312,Staff BI and Data Engineer,$80K-$148K (Glassdoor est.),Affinity Solutions,San Jose,CA,80000,148000,114000.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
313,Marketing Data Analyst,$36K-$62K (Glassdoor est.),Citadel Federal Credit Union,Exton,PA,36000,62000,49000.0,Banks & Credit Unions,Finance,Unknown / Non-Applicable
314,"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),Rochester Regional Health,Rochester,NY,54000,115000,84500.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
315,Data Analyst,$50K-$92K (Glassdoor est.),CALIBRE Systems,Alexandria,VA,50000,92000,71000.0,IT Services,Information Technology,$100 to $500 million (USD)
316,"Director - Data, Privacy and AI Governance",$67K-$135K (Glassdoor est.),MassMutual,Boston,MA,67000,135000,101000.0,Insurance Carriers,Insurance,$10+ billion (USD)
317,Data Scientist,$82K-$132K (Glassdoor est.),Esri,Redlands,CA,82000,132000,107000.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
318,Data Scientist,$85K-$140K (Glassdoor est.),New England Biolabs,Ipswich,MA,85000,140000,112500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
319,Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),Tapjoy,San Francisco,CA,138000,224000,181000.0,Internet,Information Technology,$10 to $25 million (USD)
320,Information Security Data Analyst,$42K-$80K (Glassdoor est.),Motorola Solutions,Chicago,IL,42000,80000,61000.0,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
321,Lead Data Engineer,$190K-$220K(Employer est.),Credit Sesame,Mountain View,CA,190000,220000,205000.0,Internet,Information Technology,$50 to $100 million (USD)
322,Scientist Manufacturing - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),Reynolds American,Owensboro,KY,68000,139000,103500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
323,Data Analytics Project Manager,$34K-$92K (Glassdoor est.),MassMutual,Springfield,MA,34000,92000,63000.0,Insurance Carriers,Insurance,$10+ billion (USD)
324,Consultant - Analytics Consulting,$54K-$71K (Glassdoor est.),Infosys,Hartford,CT,54000,71000,62500.0,IT Services,Information Technology,$10+ billion (USD)
325,Data Engineer,$65K-$124K (Glassdoor est.),Alignment Healthcare,Orange,CA,65000,124000,94500.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
326,Marketing Data Analyst,$35K-$62K (Glassdoor est.),San Manuel Casino,Highland,CA,35000,62000,48500.0,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
327,Senior Scientist (Neuroscience),$109K-$200K (Glassdoor est.),Sunovion,Marlborough,MA,109000,200000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
328,Machine Learning Engineer - Regulatory,$61K-$113K (Glassdoor est.),Cboe Global Markets,Lenexa,KS,61000,113000,87000.0,Stock Exchanges,Finance,$500 million to $1 billion (USD)
329,R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),Teasdale Latin Foods,Hoopeston,IL,39000,66000,52500.0,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD)
330,Data Engineer,$43K-$86K (Glassdoor est.),Guidepoint,New York,NY,43000,86000,64500.0,Research & Development,Business Services,Unknown / Non-Applicable
331,"Scientist, Bacteriology",$74K-$149K (Glassdoor est.),Cerus Corporation,Concord,CA,74000,149000,111500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
332,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K (Glassdoor est.),Takeda Pharmaceuticals,Cambridge,MA,113000,196000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
